56      62      56
57      62      56
58      62      56
56      63      56
57  	63      56
58      63      56
56      64      56
57      64      56
58      64      56
56      62      57
57      62      57
58      62      57
56      63      57
57      63      57
58      63      57
56      64      57
57      64      57
58      64      57
56      62      58
57      62      58
58      62      58
56      63      58
57      63      58
58      63      58
56      64      58
57      64      58
58      64      58 
